basename,split,scene_name,room_type,recipe_name,severity,danger_labels,sim_label,n_abnormal_flags,sensor_observable,qwen2.5-72b-bnb4_pred,qwen2.5-72b-bnb4_keyword_hit,llama3.1-70b-bnb4_pred,llama3.1-70b-bnb4_keyword_hit,gpt-5.5_pred,gpt-5.5_keyword_hit,dual_consensus,unanimous_consensus,majority_consensus,any_jury_keyword_hit
bathroom_FloorPlan417_broken_shower_glass,hazard,FloorPlan417,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan13_stove_on_with_knife_nearby,hazard,FloorPlan13,kitchen,stove_on_with_knife_nearby,critical,fire_hazard;sharp_object;compound_danger,hazardous,3,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan419_faucet_running_bathroom,hazard,FloorPlan419,bathroom,faucet_running_bathroom,high,water_hazard;slip_risk;overflow_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
bedroom_FloorPlan315_broken_window_bedroom,hazard,FloorPlan315,bedroom,broken_window_bedroom,high,sharp_object;laceration_risk;security_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan6_broken_glass_on_floor,hazard,FloorPlan6,kitchen,broken_glass_on_floor,high,sharp_object;laceration_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
living_room_FloorPlan217_broken_window,hazard,FloorPlan217,living_room,broken_window,high,sharp_object;laceration_risk;security_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan30_food_left_out_sliced,hazard,FloorPlan30,kitchen,food_left_out_sliced,low,food_safety,hazardous,0,0,safe,,safe,,hazardous,,safe,split,safe,
living_room_FloorPlan221_tv_on_unattended,hazard,FloorPlan221,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,0,safe,0,safe,1,safe,safe,safe,1
bathroom_FloorPlan411_toilet_open_faucet_on,hazard,FloorPlan411,bathroom,toilet_open_faucet_on,medium,water_hazard;hygiene_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
bedroom_FloorPlan326_cellphone_on_bed,hazard,FloorPlan326,bedroom,cellphone_on_bed,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,safe,0,hazardous,1,split,split,hazardous,1
kitchen_FloorPlan20_faucet_running,hazard,FloorPlan20,kitchen,faucet_running,medium,water_hazard;overflow_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan224_laptop_overheating,hazard,FloorPlan224,living_room,laptop_overheating,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,safe,0,hazardous,0,split,split,hazardous,0
bathroom_FloorPlan411_broken_shower_glass,hazard,FloorPlan411,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan1_multiple_burners_on,hazard,FloorPlan1,kitchen,multiple_burners_on,critical,fire_hazard;burn_risk;gas_risk,hazardous,8,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan422_candle_lit_bathroom,hazard,FloorPlan422,bathroom,candle_lit_bathroom,high,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan302_laptop_on_bed_overheat,hazard,FloorPlan302,bedroom,laptop_on_bed_overheat,high,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,hazardous,0,hazardous,0,hazardous,hazardous,hazardous,0
kitchen_FloorPlan15_knife_on_counter_edge,hazard,FloorPlan15,kitchen,knife_on_counter_edge,high,sharp_object;falling_risk,hazardous,0,0,safe,1,safe,1,safe,1,safe,safe,safe,1
living_room_FloorPlan208_vase_broken_on_floor,hazard,FloorPlan208,living_room,vase_broken_on_floor,high,sharp_object;laceration_risk,hazardous,0,0,safe,1,safe,0,safe,0,safe,safe,safe,1
kitchen_FloorPlan18_fridge_left_open,hazard,FloorPlan18,kitchen,fridge_left_open,low,food_safety;obstruction,hazardous,1,1,safe,0,safe,1,hazardous,1,safe,split,safe,1
living_room_FloorPlan227_tv_on_unattended,hazard,FloorPlan227,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,1,safe,1,hazardous,1,safe,split,safe,1
bathroom_FloorPlan412_toilet_open_faucet_on,hazard,FloorPlan412,bathroom,toilet_open_faucet_on,medium,water_hazard;hygiene_risk,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan308_cellphone_on_bed,hazard,FloorPlan308,bedroom,cellphone_on_bed,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,safe,0,hazardous,0,split,split,hazardous,0
kitchen_FloorPlan25_toaster_on_unattended,hazard,FloorPlan25,kitchen,toaster_on_unattended,medium,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,0,hazardous,hazardous,hazardous,1
living_room_FloorPlan224_floor_lamp_on_unattended,hazard,FloorPlan224,living_room,floor_lamp_on_unattended,medium,fire_hazard;electrical_risk,hazardous,1,1,safe,0,safe,0,hazardous,0,safe,split,safe,0
bathroom_FloorPlan403_broken_shower_glass,hazard,FloorPlan403,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan28_multiple_burners_on,hazard,FloorPlan28,kitchen,multiple_burners_on,critical,fire_hazard;burn_risk;gas_risk,hazardous,7,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan410_candle_lit_bathroom,hazard,FloorPlan410,bathroom,candle_lit_bathroom,high,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan315_laptop_on_bed_overheat,hazard,FloorPlan315,bedroom,laptop_on_bed_overheat,high,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,hazardous,0,hazardous,0,hazardous,hazardous,hazardous,0
kitchen_FloorPlan19_faucet_on_broken_cup,hazard,FloorPlan19,kitchen,faucet_on_broken_cup,high,water_hazard;sharp_object;compound_danger,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan201_broken_window,hazard,FloorPlan201,living_room,broken_window,high,sharp_object;laceration_risk;security_risk,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan23_microwave_door_open,hazard,FloorPlan23,kitchen,microwave_door_open,low,obstruction;appliance_misuse,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan217_tv_on_unattended,hazard,FloorPlan217,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,0,safe,0,hazardous,1,safe,split,safe,1
bathroom_FloorPlan418_shower_running_unattended,hazard,FloorPlan418,bathroom,shower_running_unattended,medium,water_hazard;slip_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan317_desk_lamp_on_unattended,hazard,FloorPlan317,bedroom,desk_lamp_on_unattended,medium,fire_hazard;burn_risk,hazardous,1,1,safe,0,safe,0,hazardous,1,safe,split,safe,1
kitchen_FloorPlan1_faucet_running,hazard,FloorPlan1,kitchen,faucet_running,medium,water_hazard;overflow_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan201_laptop_overheating,hazard,FloorPlan201,living_room,laptop_overheating,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,safe,0,hazardous,0,split,split,hazardous,0
bathroom_FloorPlan425_broken_shower_glass,hazard,FloorPlan425,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan6_stove_on_with_knife_nearby,hazard,FloorPlan6,kitchen,stove_on_with_knife_nearby,critical,fire_hazard;sharp_object;compound_danger,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan424_candle_lit_bathroom,hazard,FloorPlan424,bathroom,candle_lit_bathroom,high,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan319_broken_mirror_bedroom,hazard,FloorPlan319,bedroom,broken_mirror_bedroom,high,sharp_object;laceration_risk,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan15_stove_left_on,hazard,FloorPlan15,kitchen,stove_left_on,high,fire_hazard;burn_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan228_broken_window,hazard,FloorPlan228,living_room,broken_window,high,sharp_object;laceration_risk;security_risk,hazardous,0,0,safe,0,safe,0,safe,0,safe,safe,safe,0
kitchen_FloorPlan26_microwave_door_open,hazard,FloorPlan26,kitchen,microwave_door_open,low,obstruction;appliance_misuse,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan215_tv_on_unattended,hazard,FloorPlan215,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,0,safe,1,safe,1,safe,safe,safe,1
bathroom_FloorPlan430_toilet_open_faucet_on,hazard,FloorPlan430,bathroom,toilet_open_faucet_on,medium,water_hazard;hygiene_risk,hazardous,1,1,safe,0,safe,0,safe,1,safe,safe,safe,1
bedroom_FloorPlan304_desk_lamp_on_unattended,hazard,FloorPlan304,bedroom,desk_lamp_on_unattended,medium,fire_hazard;burn_risk,hazardous,2,1,safe,0,safe,0,hazardous,1,safe,split,safe,1
kitchen_FloorPlan18_faucet_running,hazard,FloorPlan18,kitchen,faucet_running,medium,water_hazard;overflow_risk,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan223_broken_statue,hazard,FloorPlan223,living_room,broken_statue,medium,sharp_object;laceration_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
bathroom_FloorPlan418_broken_shower_glass,hazard,FloorPlan418,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan12_multiple_burners_on,hazard,FloorPlan12,kitchen,multiple_burners_on,critical,fire_hazard;burn_risk;gas_risk,hazardous,8,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan408_broken_mirror_bathroom,hazard,FloorPlan408,bathroom,broken_mirror_bathroom,high,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bedroom_FloorPlan307_broken_mirror_bedroom,hazard,FloorPlan307,bedroom,broken_mirror_bedroom,high,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan1_stove_left_on,hazard,FloorPlan1,kitchen,stove_left_on,high,fire_hazard;burn_risk,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan203_vase_broken_on_floor,hazard,FloorPlan203,living_room,vase_broken_on_floor,high,sharp_object;laceration_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
kitchen_FloorPlan12_microwave_door_open,hazard,FloorPlan12,kitchen,microwave_door_open,low,obstruction;appliance_misuse,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan203_tv_on_unattended,hazard,FloorPlan203,living_room,tv_on_unattended,low,appliance_misuse,hazardous,1,1,safe,0,safe,1,hazardous,1,safe,split,safe,1
bathroom_FloorPlan419_toilet_open_faucet_on,hazard,FloorPlan419,bathroom,toilet_open_faucet_on,medium,water_hazard;hygiene_risk,hazardous,1,1,safe,1,safe,0,safe,1,safe,safe,safe,1
bedroom_FloorPlan330_cellphone_on_bed,hazard,FloorPlan330,bedroom,cellphone_on_bed,medium,fire_hazard;overheat_risk,hazardous,1,1,hazardous,0,safe,0,hazardous,0,split,split,hazardous,0
kitchen_FloorPlan24_toaster_on_unattended,hazard,FloorPlan24,kitchen,toaster_on_unattended,medium,fire_hazard,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
living_room_FloorPlan213_broken_statue,hazard,FloorPlan213,living_room,broken_statue,medium,sharp_object;laceration_risk,hazardous,0,0,safe,1,safe,0,safe,1,safe,safe,safe,1
bathroom_FloorPlan423_broken_shower_glass,hazard,FloorPlan423,bathroom,broken_shower_glass,critical,sharp_object;laceration_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
kitchen_FloorPlan14_stove_on_with_knife_nearby,hazard,FloorPlan14,kitchen,stove_on_with_knife_nearby,critical,fire_hazard;sharp_object;compound_danger,hazardous,2,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
bathroom_FloorPlan417_shower_faucet_combo,hazard,FloorPlan417,bathroom,shower_faucet_combo,high,water_hazard;overflow_risk;slip_risk,hazardous,1,1,hazardous,1,hazardous,1,hazardous,1,hazardous,hazardous,hazardous,1
